symbol,date,open,high,low,close,volume
NIFTYAUTO,2025-02-01,22926.2,23519.7,22727.65,23305.45,53624432
NIFTYAUTO,2025-02-03,23299.75,23370.9,23096.1,23327.0,91969399
NIFTYAUTO,2025-02-04,23607.5,23800.9,23366.9,23535.05,84225037
NIFTYAUTO,2025-02-05,23551.25,23646.3,23410.5,23517.1,42290268
NIFTYAUTO,2025-02-06,23548.25,23587.85,23264.15,23298.85,25472305
NIFTYAUTO,2025-02-07,23407.45,23545.2,23193.35,23459.95,41218756
NIFTYAUTO,2025-02-10,23525.85,23636.3,23082.2,23112.65,29472576
NIFTYAUTO,2025-02-11,23053.8,23068.15,22531.1,22573.9,48131584
NIFTYAUTO,2025-02-12,22544.2,22573.15,22099.05,22407.45,95027273
NIFTYAUTO,2025-02-13,22483.25,22594.65,22285.1,22344.3,71809666
NIFTYAUTO,2025-02-14,22428.25,22487.5,21874.55,22069.3,50787056
NIFTYAUTO,2025-02-17,22012.8,22012.95,21610.15,21951.85,87390998
NIFTYAUTO,2025-02-18,21973.7,21997.05,21638.55,21818.9,52109786
NIFTYAUTO,2025-02-19,21683.65,21898.05,21597.1,21809.15,43942898
NIFTYAUTO,2025-02-20,21751.35,22092.8,21562.8,22074.9,40601637
NIFTYAUTO,2025-02-21,21973.95,22010.85,21435.5,21505.9,51484472
NIFTYAUTO,2025-02-24,21409.95,21597.35,21291.3,21552.5,36818738
NIFTYAUTO,2025-02-25,21616.05,21757.1,21585.9,21662.65,52340250
NIFTYAUTO,2025-02-27,21766.95,21786.3,21243.5,21335.35,53987530
NIFTYAUTO,2025-02-28,21180.8,21188.2,20460.1,20498.6,92747119
NIFTYAUTO,2025-03-03,20591.5,20865.85,20368.85,20538.15,55275223
NIFTYAUTO,2025-03-04,20295.8,20462.8,20174.85,20269.2,49536926
NIFTYAUTO,2025-03-05,20354.8,20848.4,20327.05,20796.75,45261690
NIFTYAUTO,2025-03-06,21030.7,21068.75,20733.4,20959.7,61788012
NIFTYAUTO,2025-03-07,20925.75,21197.0,20846.0,21009.7,38374385
NIFTYAUTO,2025-03-10,20946.4,21023.95,20706.3,20752.8,33348146
NIFTYAUTO,2025-03-11,20616.9,20733.45,20480.75,20682.65,52331963
NIFTYAUTO,2025-03-12,20713.55,20836.2,20590.8,20783.7,52670378
NIFTYAUTO,2025-03-13,20862.9,20883.15,20530.4,20554.05,41360078
NIFTYAUTO,2025-03-17,20539.0,20926.35,20538.05,20741.15,37986702
NIFTYAUTO,2025-03-18,20859.2,21251.3,20836.05,21234.95,40120035
NIFTYAUTO,2025-03-19,21305.55,21398.25,21194.15,21319.5,37620210
NIFTYAUTO,2025-03-20,21444.3,21672.3,21368.25,21623.05,32967364
NIFTYAUTO,2025-03-21,21720.95,21993.95,21667.35,21756.0,57737929
NIFTYAUTO,2025-03-24,21891.1,21987.1,21665.2,21938.7,38586238
NIFTYAUTO,2025-03-25,22050.9,22092.4,21683.1,21737.6,46643103
NIFTYAUTO,2025-03-26,21776.1,21924.6,21704.8,21742.8,76100551
NIFTYAUTO,2025-03-27,21445.65,21611.95,21216.4,21516.75,111412168
NIFTYAUTO,2025-03-28,21570.2,21577.2,21200.75,21295.5,60036856
NIFTYAUTO,2025-04-01,21177.0,21543.8,21100.2,21235.25,36848232
NIFTYAUTO,2025-04-02,21250.85,21433.45,21175.85,21408.85,29918268
NIFTYAUTO,2025-04-03,21140.2,21320.3,21095.0,21164.0,48081077
NIFTYAUTO,2025-04-04,21081.05,21081.05,20507.55,20593.15,86334679
NIFTYAUTO,2025-04-07,19336.15,19893.7,19316.65,19815.55,105696382
NIFTYAUTO,2025-04-08,20141.65,20307.3,19805.25,20138.15,61540203
NIFTYAUTO,2025-04-09,20188.3,20326.95,20034.65,20140.4,47335353
NIFTYAUTO,2025-04-11,20493.05,20637.95,20432.3,20548.65,58458880
NIFTYAUTO,2025-04-15,21023.95,21276.3,20929.75,21246.2,92607937
NIFTYAUTO,2025-04-16,21280.35,21283.1,21058.6,21155.8,42119090
NIFTYAUTO,2025-04-17,21152.0,21414.6,20953.1,21373.1,42264973
NIFTYAUTO,2025-04-21,21463.45,21848.15,21272.15,21826.0,40671606
NIFTYAUTO,2025-04-22,21837.05,21957.7,21729.8,21903.7,41513425
NIFTYAUTO,2025-04-23,21999.95,22456.9,21947.05,22424.45,61415556
NIFTYAUTO,2025-04-24,22426.9,22492.8,22286.85,22367.55,47474193
NIFTYAUTO,2025-04-25,22385.3,22541.9,21885.2,21994.5,56351166
NIFTYAUTO,2025-04-28,22003.45,22427.15,21919.95,22352.95,35194014
NIFTYAUTO,2025-04-29,22442.65,22584.1,22216.55,22299.05,55022977
NIFTYAUTO,2025-04-30,22306.15,22389.25,22091.15,22308.4,61251593
NIFTYAUTO,2025-05-02,22323.25,22687.95,22198.35,22286.5,40928441
NIFTYAUTO,2025-05-05,22443.2,22732.45,22366.3,22699.2,34204354
NIFTYAUTO,2025-05-06,22964.95,23092.65,22668.65,22737.6,40994733
NIFTYAUTO,2025-05-07,22436.75,23135.5,22435.3,23114.1,72331937
NIFTYAUTO,2025-05-08,23213.85,23242.1,22560.2,22674.15,83108731
NIFTYAUTO,2025-05-09,22241.45,22804.75,22220.7,22627.8,77899797
NIFTYAUTO,2025-05-12,23135.9,23427.35,23066.4,23400.45,59201644
NIFTYAUTO,2025-05-13,23293.05,23500.15,23046.95,23167.25,39961879
NIFTYAUTO,2025-05-14,23088.6,23390.8,22947.65,23356.85,56183000
NIFTYAUTO,2025-05-15,23356.65,23880.5,23261.85,23804.85,58651397
NIFTYAUTO,2025-05-16,23833.8,24009.75,23777.55,23953.15,48971001
NIFTYAUTO,2025-05-19,23943.45,24174.15,23933.15,24052.6,40694779
NIFTYAUTO,2025-05-20,24111.5,24138.7,23495.55,23531.2,53450324
NIFTYAUTO,2025-05-21,23580.4,23914.75,23503.95,23700.1,32628517
NIFTYAUTO,2025-05-22,23629.85,23643.75,23291.4,23459.9,37818068
NIFTYAUTO,2025-05-23,23528.05,23595.2,23423.45,23515.25,42344240
NIFTYAUTO,2025-05-26,23574.4,23839.85,23551.25,23763.15,52875432
NIFTYAUTO,2025-05-27,23785.5,23795.25,23477.4,23596.9,55949233
NIFTYAUTO,2025-05-28,23639.3,23639.3,23411.9,23437.05,35886827
NIFTYAUTO,2025-05-29,23529.1,23607.9,23417.25,23555.75,58416743
NIFTYAUTO,2025-05-30,23547.55,23590.2,23291.05,23325.6,89209126
NIFTYAUTO,2025-06-02,23274.1,23373.4,23147.2,23327.05,41114945
NIFTYAUTO,2025-06-03,23399.8,23475.75,23204.9,23268.7,33204984
NIFTYAUTO,2025-06-04,23264.5,23455.05,23250.0,23332.6,40034849
NIFTYAUTO,2025-06-05,23461.55,23461.55,23169.7,23306.2,40896994
NIFTYAUTO,2025-06-06,23343.05,23677.7,23208.1,23661.3,42497805
NIFTYAUTO,2025-06-09,23789.8,23882.8,23698.6,23777.15,40154905
NIFTYAUTO,2025-06-10,23869.75,23872.2,23743.2,23759.0,45128409
NIFTYAUTO,2025-06-11,23797.5,23984.7,23774.0,23805.2,38634488
NIFTYAUTO,2025-06-12,23838.15,23857.55,23341.45,23411.8,34475013
NIFTYAUTO,2025-06-13,22941.8,23365.15,22915.65,23327.4,28743768
NIFTYAUTO,2025-06-16,23302.7,23425.25,23074.25,23368.25,51333957
NIFTYAUTO,2025-06-17,23407.55,23416.8,23176.7,23227.3,36132217
NIFTYAUTO,2025-06-18,23208.95,23564.95,23130.05,23312.35,31513472
NIFTYAUTO,2025-06-19,23305.5,23496.25,23299.6,23434.65,34168783
NIFTYAUTO,2025-06-20,23462.95,23720.25,23403.7,23679.35,53245708
NIFTYAUTO,2025-06-23,23526.0,23615.2,23360.85,23461.15,38301779
NIFTYAUTO,2025-06-24,23670.95,23885.3,23572.35,23598.25,44923799
NIFTYAUTO,2025-06-25,23725.05,23848.8,23668.1,23827.8,39246030
NIFTYAUTO,2025-06-26,23883.1,23979.25,23768.9,23961.7,41426669
NIFTYAUTO,2025-06-27,23994.25,24142.7,23937.9,24007.95,47326665
NIFTYAUTO,2025-06-30,24074.8,24101.95,23824.2,23872.55,25880620
NIFTYAUTO,2025-07-01,23927.2,23994.25,23745.8,23824.0,23334761
NIFTYAUTO,2025-07-02,23799.5,23962.6,23786.05,23899.85,28796493
NIFTYAUTO,2025-07-03,23946.85,24202.3,23933.6,24004.95,33710411
NIFTYAUTO,2025-07-04,23989.8,24021.3,23850.85,23980.4,19022214
NIFTYAUTO,2025-07-07,23969.5,24012.65,23896.9,23943.9,20630018
NIFTYAUTO,2025-07-08,23958.7,23994.5,23681.3,23852.9,27008890
NIFTYAUTO,2025-07-09,23807.0,23988.75,23790.4,23944.4,23322054
NIFTYAUTO,2025-07-10,23966.3,24002.3,23807.25,23916.85,30232143
NIFTYAUTO,2025-07-11,23866.8,23894.4,23433.3,23493.8,28539976
NIFTYAUTO,2025-07-14,23518.5,23598.25,23447.8,23552.0,37452044
NIFTYAUTO,2025-07-15,23588.85,23951.85,23576.05,23905.25,39606124
NIFTYAUTO,2025-07-16,23910.1,24041.2,23654.05,24011.15,34428048
NIFTYAUTO,2025-07-17,24003.25,24157.0,23954.0,24002.5,26904866
NIFTYAUTO,2025-07-18,24050.45,24182.25,23874.2,23894.35,30698140
NIFTYAUTO,2025-07-21,23866.8,24075.95,23725.1,24055.0,34969889
NIFTYAUTO,2025-07-22,24067.65,24090.25,23826.9,23875.85,37720094
NIFTYAUTO,2025-07-23,23935.55,24157.2,23928.2,24079.4,42098830
NIFTYAUTO,2025-07-24,24070.6,24226.4,24051.15,24087.3,66468945
NIFTYAUTO,2025-07-25,24064.7,24078.0,23675.9,23781.55,32995402
NIFTYAUTO,2025-07-28,23777.7,23981.6,23670.9,23693.0,41480950
NIFTYAUTO,2025-07-29,23663.0,23936.9,23620.9,23888.35,25789391
NIFTYAUTO,2025-07-30,23855.85,23867.0,23580.35,23745.8,48051657
NIFTYAUTO,2025-07-31,23593.2,23794.1,23397.95,23655.85,58837073
NIFTYAUTO,2025-08-01,23684.85,23737.2,23378.9,23410.95,44729786
NIFTYAUTO,2025-08-04,23457.25,23800.25,23416.05,23787.5,38006330
NIFTYAUTO,2025-08-05,23806.3,23903.9,23669.7,23876.3,34096400
NIFTYAUTO,2025-08-06,23902.4,23927.85,23662.5,23748.85,33676059
NIFTYAUTO,2025-08-07,23620.0,23839.55,23453.55,23808.1,60570411
NIFTYAUTO,2025-08-08,23810.3,23890.8,23439.05,23474.65,37623329
NIFTYAUTO,2025-08-11,23526.6,23792.75,23440.2,23723.75,57531889
NIFTYAUTO,2025-08-12,23741.1,24011.7,23732.45,23856.6,31735297
NIFTYAUTO,2025-08-13,23946.25,24190.05,23913.35,24122.65,48321636
NIFTYAUTO,2025-08-14,24136.3,24233.35,24034.1,24118.8,46241166
NIFTYAUTO,2025-08-18,24804.65,25281.95,24782.3,25127.2,131689601
