symbol,date,open,high,low,close,volume
NIFTYDEFENSE,2025-02-01,6445.75,6554.65,6046.75,6197.95,85026514
NIFTYDEFENSE,2025-02-03,6114.2,6116.9,5854.7,5884.7,55909045
NIFTYDEFENSE,2025-02-04,5945.75,6038.0,5912.5,6022.65,41278739
NIFTYDEFENSE,2025-02-05,6065.75,6162.8,6057.65,6082.55,25551595
NIFTYDEFENSE,2025-02-06,6111.1,6122.45,5951.65,5963.3,24444329
NIFTYDEFENSE,2025-02-07,5960.2,5982.05,5870.35,5946.7,36809880
NIFTYDEFENSE,2025-02-10,5956.55,6024.3,5856.65,5892.85,45998047
NIFTYDEFENSE,2025-02-11,5896.65,5904.55,5652.6,5686.55,37008580
NIFTYDEFENSE,2025-02-12,5675.6,5675.6,5417.45,5618.65,46069293
NIFTYDEFENSE,2025-02-13,5630.55,5785.95,5624.6,5642.55,30211657
NIFTYDEFENSE,2025-02-14,5682.75,5713.4,5382.65,5438.2,37248426
NIFTYDEFENSE,2025-02-17,5378.45,5401.0,5250.25,5285.75,37004439
NIFTYDEFENSE,2025-02-18,5288.0,5298.35,5073.35,5129.95,38736632
NIFTYDEFENSE,2025-02-19,5085.25,5399.75,5050.5,5344.9,48039255
NIFTYDEFENSE,2025-02-20,5317.05,5434.7,5283.9,5415.7,32049857
NIFTYDEFENSE,2025-02-21,5402.9,5501.65,5320.3,5349.0,27887313
NIFTYDEFENSE,2025-02-24,5284.8,5411.15,5228.45,5357.35,31492662
NIFTYDEFENSE,2025-02-25,5355.9,5406.4,5319.75,5333.85,24074509
NIFTYDEFENSE,2025-02-27,5341.85,5356.6,5246.3,5263.35,18199407
NIFTYDEFENSE,2025-02-28,5191.75,5235.35,5074.35,5131.8,29439602
NIFTYDEFENSE,2025-03-03,5160.3,5233.75,5025.35,5211.05,38023701
NIFTYDEFENSE,2025-03-04,5154.1,5405.3,5134.4,5339.75,44026856
NIFTYDEFENSE,2025-03-05,5350.45,5497.95,5329.55,5489.3,40198775
NIFTYDEFENSE,2025-03-06,5550.15,5607.4,5477.9,5517.0,30921252
NIFTYDEFENSE,2025-03-07,5528.7,5703.2,5495.4,5680.4,56694598
NIFTYDEFENSE,2025-03-10,5695.2,5768.4,5613.2,5633.35,38460236
NIFTYDEFENSE,2025-03-11,5573.35,5643.5,5525.4,5608.55,31684497
NIFTYDEFENSE,2025-03-12,5635.25,5666.8,5546.35,5587.25,23412809
NIFTYDEFENSE,2025-03-13,5649.85,5746.35,5595.6,5655.9,62480203
NIFTYDEFENSE,2025-03-17,5674.0,5738.8,5633.3,5661.8,24409701
NIFTYDEFENSE,2025-03-18,5712.1,5795.1,5687.35,5783.6,25692060
NIFTYDEFENSE,2025-03-19,5808.35,6109.15,5802.25,6064.0,64741321
NIFTYDEFENSE,2025-03-20,6145.3,6186.2,6024.85,6172.75,63539780
NIFTYDEFENSE,2025-03-21,6224.2,6266.25,6177.85,6248.0,61067697
NIFTYDEFENSE,2025-03-24,6315.6,6480.35,6308.1,6460.75,54738006
NIFTYDEFENSE,2025-03-25,6540.1,6551.7,6323.65,6342.75,35812738
NIFTYDEFENSE,2025-03-26,6358.5,6473.25,6297.0,6376.65,45371103
NIFTYDEFENSE,2025-03-27,6360.45,6457.25,6342.65,6370.6,31973370
NIFTYDEFENSE,2025-03-28,6421.95,6507.7,6377.7,6393.9,37885803
NIFTYDEFENSE,2025-04-01,6465.45,6550.3,6320.4,6336.05,48664637
NIFTYDEFENSE,2025-04-02,6343.85,6350.55,6191.75,6332.05,63541526
NIFTYDEFENSE,2025-04-03,6293.8,6476.4,6287.5,6463.6,39280649
NIFTYDEFENSE,2025-04-04,6409.65,6433.4,6199.35,6260.45,35203056
NIFTYDEFENSE,2025-04-07,5644.85,6024.1,5644.5,5972.1,40624676
NIFTYDEFENSE,2025-04-08,6148.05,6200.1,6011.85,6118.0,38108774
NIFTYDEFENSE,2025-04-09,6105.55,6134.15,5995.2,6105.8,20479862
NIFTYDEFENSE,2025-04-11,6222.75,6299.25,6199.25,6268.7,23513598
NIFTYDEFENSE,2025-04-15,6392.1,6552.75,6355.55,6541.75,46252338
NIFTYDEFENSE,2025-04-16,6557.45,6636.3,6507.9,6587.0,28869375
NIFTYDEFENSE,2025-04-17,6585.25,6649.6,6559.75,6603.05,25194733
NIFTYDEFENSE,2025-04-21,6644.65,6771.7,6631.15,6738.5,33828877
NIFTYDEFENSE,2025-04-22,6775.15,6815.55,6731.7,6794.2,26233430
NIFTYDEFENSE,2025-04-23,6849.15,6904.3,6737.4,6840.35,40322246
NIFTYDEFENSE,2025-04-24,6846.1,6906.35,6808.95,6829.85,30769612
NIFTYDEFENSE,2025-04-25,6841.5,6870.05,6539.15,6640.65,37207465
NIFTYDEFENSE,2025-04-28,6623.95,6957.15,6621.8,6912.9,70265196
NIFTYDEFENSE,2025-04-29,6962.8,7293.35,6954.2,7260.6,135096533
NIFTYDEFENSE,2025-04-30,7298.0,7352.25,7086.95,7128.8,72907687
NIFTYDEFENSE,2025-05-02,7120.8,7192.55,7025.3,7038.45,45053274
NIFTYDEFENSE,2025-05-05,7087.0,7174.5,7030.85,7163.7,30429889
NIFTYDEFENSE,2025-05-06,7176.75,7251.3,6989.15,7010.7,34610052
NIFTYDEFENSE,2025-05-07,6912.8,7147.25,6878.8,6939.95,48705985
NIFTYDEFENSE,2025-05-08,6981.45,7059.65,6848.35,6879.5,33754004
NIFTYDEFENSE,2025-05-09,6816.3,7134.55,6816.3,7088.95,91113391
NIFTYDEFENSE,2025-05-12,7299.55,7301.25,7089.85,7138.35,65716023
NIFTYDEFENSE,2025-05-13,7160.25,7465.0,7155.95,7432.4,106150193
NIFTYDEFENSE,2025-05-14,7553.15,7777.6,7512.3,7667.25,131641433
NIFTYDEFENSE,2025-05-15,7750.15,7882.1,7667.85,7868.5,97531763
NIFTYDEFENSE,2025-05-16,7921.6,8377.25,7890.55,8309.15,175064769
NIFTYDEFENSE,2025-05-19,8462.55,8555.5,8180.25,8204.75,118487405
NIFTYDEFENSE,2025-05-20,8253.45,8297.1,7974.35,8009.7,110121690
NIFTYDEFENSE,2025-05-21,8006.65,8295.65,7950.95,8282.65,127657123
NIFTYDEFENSE,2025-05-22,8287.3,8468.8,8253.5,8453.75,92618292
NIFTYDEFENSE,2025-05-23,8526.3,8558.15,8361.35,8454.95,70821156
NIFTYDEFENSE,2025-05-26,8483.4,8594.0,8449.5,8554.25,55253530
NIFTYDEFENSE,2025-05-27,8567.95,8728.2,8531.35,8645.25,53604369
NIFTYDEFENSE,2025-05-28,8643.55,8775.0,8603.1,8724.15,60418669
NIFTYDEFENSE,2025-05-29,8779.55,8829.8,8726.0,8787.45,49994968
NIFTYDEFENSE,2025-05-30,8749.7,8822.75,8664.85,8685.6,60490136
NIFTYDEFENSE,2025-06-02,8686.7,8724.95,8613.45,8696.15,28595522
NIFTYDEFENSE,2025-06-03,8717.2,8861.1,8710.45,8793.1,48278999
NIFTYDEFENSE,2025-06-04,8837.2,8999.8,8796.0,8868.55,59672097
NIFTYDEFENSE,2025-06-05,8934.55,9101.7,8846.9,9073.9,73469135
NIFTYDEFENSE,2025-06-06,9135.4,9195.15,8907.15,8919.2,56073243
NIFTYDEFENSE,2025-06-09,8965.95,8985.35,8891.9,8900.6,34451087
NIFTYDEFENSE,2025-06-10,8963.1,9039.85,8941.8,8995.85,53952904
NIFTYDEFENSE,2025-06-11,9025.6,9031.55,8744.75,8811.85,43036570
NIFTYDEFENSE,2025-06-12,8823.2,8889.4,8646.15,8660.6,35458051
NIFTYDEFENSE,2025-06-13,8500.6,8893.7,8466.65,8791.6,71220258
NIFTYDEFENSE,2025-06-16,8827.9,8899.15,8659.75,8864.55,54115581
NIFTYDEFENSE,2025-06-17,8889.55,9009.35,8854.15,8898.55,49119787
NIFTYDEFENSE,2025-06-18,8915.65,8948.9,8826.95,8857.8,37101166
NIFTYDEFENSE,2025-06-19,8866.05,8971.15,8651.05,8723.8,45613866
NIFTYDEFENSE,2025-06-20,8740.7,8903.7,8659.6,8888.45,150428524
NIFTYDEFENSE,2025-06-23,8901.85,9123.1,8891.2,9078.3,78710217
NIFTYDEFENSE,2025-06-24,9157.5,9159.55,8840.75,8858.55,61948925
NIFTYDEFENSE,2025-06-25,8884.2,8884.4,8662.35,8681.15,49365336
NIFTYDEFENSE,2025-06-26,8726.85,8806.9,8660.05,8713.35,47016874
NIFTYDEFENSE,2025-06-27,8740.55,8813.4,8729.85,8788.35,60773255
NIFTYDEFENSE,2025-06-30,8845.05,8913.85,8800.95,8870.4,36683509
NIFTYDEFENSE,2025-07-01,8914.55,9022.25,8882.7,8910.25,51835279
NIFTYDEFENSE,2025-07-02,8919.1,8934.8,8782.0,8863.6,35816441
NIFTYDEFENSE,2025-07-03,8870.65,8921.2,8817.35,8856.6,24984617
NIFTYDEFENSE,2025-07-04,8921.35,9018.8,8915.35,8940.45,38727542
NIFTYDEFENSE,2025-07-07,8946.6,8952.3,8810.15,8844.6,37060409
NIFTYDEFENSE,2025-07-08,8844.65,8915.55,8765.4,8843.4,26363484
NIFTYDEFENSE,2025-07-09,8857.05,8918.65,8840.75,8860.25,27451424
NIFTYDEFENSE,2025-07-10,8866.45,8878.65,8649.4,8680.75,29545794
