date,symbol
2023-10-28,BEL.NS
2024-01-29,BEL.NS
2024-05-20,BEL.NS
2024-07-29,BEL.NS
2024-10-25,BEL.NS
2025-01-30,BEL.NS
2025-05-19,BEL.NS
2025-05-20,BEL.NS
2023-11-08,BHEL.NS
2024-02-13,BHEL.NS
2024-05-21,BHEL.NS
2024-07-31,BHEL.NS
2024-08-23,BHEL.NS
2024-10-28,BHEL.NS
2025-01-28,BHEL.NS
2025-05-16,BHEL.NS
2024-01-29,BPCL.NS
2024-05-09,BPCL.NS
2024-07-19,BPCL.NS
2024-08-27,BPCL.NS
2024-10-25,BPCL.NS
2025-01-22,BPCL.NS
2025-04-29,BPCL.NS
2025-05-02,BPCL.NS
2023-11-07,COCHINSHIP.NS
2024-01-30,COCHINSHIP.NS
2024-05-24,COCHINSHIP.NS
2024-08-08,COCHINSHIP.NS
2024-09-27,COCHINSHIP.NS
2024-11-07,COCHINSHIP.NS
2025-02-06,COCHINSHIP.NS
2025-05-15,COCHINSHIP.NS
2024-05-22,GRSE.NS
2024-08-08,GRSE.NS
2024-09-20,GRSE.NS
2024-11-13,GRSE.NS
2025-02-03,GRSE.NS
2025-02-13,GRSE.NS
2025-05-13,GRSE.NS
2025-05-20,GRSE.NS
2023-11-10,HAL.NS
2024-02-12,HAL.NS
2024-05-16,HAL.NS
2024-08-14,HAL.NS
2024-08-30,HAL.NS
2024-11-14,HAL.NS
2025-02-12,HAL.NS
2025-05-14,HAL.NS
2023-10-12,HCLTECH.NS
2024-01-12,HCLTECH.NS
2024-04-26,HCLTECH.NS
2024-07-12,HCLTECH.NS
2024-08-21,HCLTECH.NS
2024-10-14,HCLTECH.NS
2025-01-13,HCLTECH.NS
2025-04-22,HCLTECH.NS
2023-10-16,HDFCBANK.NS
2024-01-16,HDFCBANK.NS
2024-04-20,HDFCBANK.NS
2024-07-22,HDFCBANK.NS
2024-08-09,HDFCBANK.NS
2024-10-19,HDFCBANK.NS
2025-01-22,HDFCBANK.NS
2025-04-19,HDFCBANK.NS
2023-10-19,HINDUNILVR.NS
2024-01-19,HINDUNILVR.NS
