symbol,date,source,eps_estimate,reported_eps
BEL.NS,2023-10-28,yahoo_earnings_dates,1.06,1.08
BEL.NS,2024-01-29,yahoo_earnings_dates,1.09,1.17
BEL.NS,2024-05-20,yahoo_earnings_dates,2.2,2.46
BEL.NS,2024-07-29,yahoo_earnings_dates,0.89,1.08
BEL.NS,2024-10-25,yahoo_earnings_dates,1.24,1.5
BEL.NS,2025-01-30,yahoo_earnings_dates,1.23,1.79
BEL.NS,2025-05-19,yahoo_earnings_dates,2.63,2.91
BEL.NS,2025-05-20,yahoo_earnings_dates,,
BHEL.NS,2023-11-08,yahoo_earnings_dates,-0.14,-0.68
BHEL.NS,2024-02-13,yahoo_earnings_dates,0.47,-0.43
BHEL.NS,2024-05-21,yahoo_earnings_dates,2.03,1.41
BHEL.NS,2024-07-31,yahoo_earnings_dates,-0.1,-0.61
BHEL.NS,2024-08-23,yahoo_earnings_dates,0.44,
BHEL.NS,2024-10-28,yahoo_earnings_dates,-0.3,0.3
BHEL.NS,2025-01-28,yahoo_earnings_dates,0.48,0.39
BHEL.NS,2025-05-16,yahoo_earnings_dates,2.38,1.45
BPCL.NS,2024-01-29,yahoo_earnings_dates,24.76,16.27
BPCL.NS,2024-05-09,yahoo_earnings_dates,32.8,22.93
BPCL.NS,2024-07-19,yahoo_earnings_dates,9.61,6.98
BPCL.NS,2024-08-27,yahoo_earnings_dates,12.87,
BPCL.NS,2024-10-25,yahoo_earnings_dates,8.16,5.56
BPCL.NS,2025-01-22,yahoo_earnings_dates,8.34,9.05
BPCL.NS,2025-04-29,yahoo_earnings_dates,6.97,10.52
BPCL.NS,2025-05-02,yahoo_earnings_dates,,
COCHINSHIP.NS,2023-11-07,yahoo_earnings_dates,,
COCHINSHIP.NS,2024-01-30,yahoo_earnings_dates,,
COCHINSHIP.NS,2024-05-24,yahoo_earnings_dates,,
COCHINSHIP.NS,2024-08-08,yahoo_earnings_dates,,
COCHINSHIP.NS,2024-09-27,yahoo_earnings_dates,,
COCHINSHIP.NS,2024-11-07,yahoo_earnings_dates,,
COCHINSHIP.NS,2025-02-06,yahoo_earnings_dates,,
COCHINSHIP.NS,2025-05-15,yahoo_earnings_dates,,
GRSE.NS,2024-05-22,yahoo_earnings_dates,,
GRSE.NS,2024-08-08,yahoo_earnings_dates,,
GRSE.NS,2024-09-20,yahoo_earnings_dates,,
GRSE.NS,2024-11-13,yahoo_earnings_dates,,
GRSE.NS,2025-02-03,yahoo_earnings_dates,,
GRSE.NS,2025-02-13,yahoo_earnings_dates,,
GRSE.NS,2025-05-13,yahoo_earnings_dates,,
GRSE.NS,2025-05-20,yahoo_earnings_dates,,
