date,symbol,company,purpose,details
2025-02-03,GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,Financial Results/Dividend,"In terms of Reg 29 of the SEBI (LODR) Reg 2015, we wish to inform you that a meeting of the Board of Directors of the Company is scheduled to be held on Monday, 03 Feb 2025, inter alia, to consider and approve the Unaudited Financial Results of the Company for the quarter and nine months ended 31 Dec 2024 and to declare Interim dividend for the Financial Year 2024-25, if any.Further, pursuant to Regulation 42 of the SEBI LODR, 2015, it is informed that the Company has fixed Friday, 07 Feb 2025 as  Record Date  to determine the shareholders who are entitled to get Interim Dividend for the Financial Year 2024-25, if declared by the Board of the Company. The Trading Window for dealing in securities of the Company shall remain closed from 01 Jan 2025 to 05 Feb 2025."
2025-02-06,COCHINSHIP.NS,Cochin Shipyard Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended December 31, 2024 and dividend"
2025-02-06,ITC.NS,ITC Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended December 31, 2024 and dividend"
2025-02-06,SBIN.NS,State Bank of India,Financial Results,"To consider and approve the financial results for the period ended December 31, 2024"
2025-02-07,M&M.NS,Mahindra & Mahindra Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended December 31, 2024 and other business matters"
2025-02-12,HAL.NS,Hindustan Aeronautics Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended December 31, 2024 and dividend"
2025-02-12,HAL.NS,Hindustan Aeronautics Limited,Financial Results,"To consider and approve the financial results for the period ended December 31, 2024"
2025-04-10,TCS.NS,Tata Consultancy Services Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend"
2025-04-16,WIPRO.NS,Wipro Limited,Financial Results,"Pursuant to Regulation 29(1) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, it is hereby informed that the next meeting of the Board of Directors of Wipro Limited ( Company ) will be held over April 15-16, 2025 to consider and approve, inter alia:a)the condensed audited standalone and consolidated financial results of the Company under lndAS for the quarter and year ended March 31, 2025.b)the condensed audited consolidated financial results of the Company under IFRS for the quarter and year ended March 31, 2025.The financial results will be approved by the Board of Directors on the evening of April 16, 2025.It is further informed that the trading window for dealing in the securities of the Company is closed from March 16, 2025, to April 18, 2025 (both days inclusive)."
2025-04-17,INFY.NS,Infosys Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend"
2025-04-19,HDFCBANK.NS,HDFC Bank Limited,Financial Results/Dividend/Fund Raising,"To consider and approve the financial results for the period ended March 31, 2025, dividend and Fund Raising"
2025-04-19,ICICIBANK.NS,ICICI Bank Limited,Financial Results/Dividend,"To consider and approve the audited financial results (standalone and consolidated) for the quarter and year ending March 31, 2025 and recommendation of dividend, if any, for the financial year ending March 31, 2025"
