timestamp,symbol,date,headline,source,url,search_term,is_relevant,relevance_reason,combined_sentiment,sentiment_label,event_tag,textblob_polarity,vader_compound,finbert_score
20250817_011845,HAL.NS,2025-08-12,"Hindustan Aeronautics Limited Q1 results Profit drops 3.7, revenue at Rs 4,819 crore - financialexpress.com",GoogleNewsRSS,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOM0pDZWFQZ1p2S2ZUanZDZWlfTVk3Snlyazd2cFFLY0J6R1B2WkdBZ29tMnc2X1I1alA0a0s1TjM2Y1NKLXR5QUZ3VUxvYVpoVHpYQmlrZmpQdWkzLU02ZF9VM0dCR005R3ZZX1hIUTFIRS1XVTJrMWx3ckdLWHQtSVotR3VsNUZfREU4bEc2UVBuVWN0dkdmM3E4eDFRaFdKUzVNUHY2ekIzUnFhREUxYWtrdGpmXy0xeEZ3a0pFeHMtU3E1OUJIalNsVHhpUS15MlFLNEkzbkwtQQ?oc=5,Hindustan Aeronautics,True,"Contains stock name: Hindustan Aeronautics, Hindustan Aeronautics Limited",-0.5479645899363926,negative,earnings,-0.07142857142857142,0.25,-0.9995838403701782
20250817_011845,HAL.NS,2025-08-12,HAL Q1 Results 2025 Highlights Net profit falls 4 YoY revenue growth at 11 YoY margins improve - Mint,GoogleNewsRSS,https://news.google.com/rss/articles/CBMikgJBVV95cUxNUFFoQmdUa01uWlp2dG1KOVpaTjFHUURKdFZqLTd3UHdvV0NacG5jS2V1SVVwZEY3ZU9wTHFnREQ0Q2tpX2ZEUVVKa2w1NXBWNnVhUE5DQ2lBQ1dhQXpCOHF5dU9KSkxWc2RsTmZvN3ZFS2E0NEEyT0J3OTMzLXRETm1POEtXWVZVSjE1OEhoQmFzeGZBMzJzeTJGWkhwWmRZSE9QMmFNdFJZd1BFOFB2Um83MTZnSThNMTJiOFd6Znl3T3NHLV91M2RWTUVfZ3FOUkNXbmtOZkhhWG1vdlJ1V3dDQkVtWWZrck5NZHVia01xSENLS1EyVnBjM0VvbFI2THZOM3lob0FsWldFUmpianln0gGXAkFVX3lxTE1tdG5ZRm1RNW9tN1A4b3BMQWx5a2N2cmZIbEwzRnBIaWRDZkY3MG95eWFlNW96aE9OQnBUWDRQZVJBVXdJSERWN3hyVHpMMjM0dTA5d2pvWEVBaUlGUkRreERPR1FFR1FpUjh5QjZNRVZPV3NkWUpqeWVaQmpCc2h0Uk9rcy1vQXBfT2N6RDZmdlU2al9mUWRXOTYxTTdoY1FkYmFKY0YwU3dZdjdHdnY3YmJjVUlidlJLZ3k5a2RyckhPSXhwTWJMOWhPbkVCdlhTbHctQTdlTmQwbWtmMHAyREdsTmZCcWtMaEFueTQ2YmxrV21MY3NrVnQzWjkyaVVzOGZUVG9nVGRrazg5YmY4bjZNTDhfQQ?oc=5,Hindustan Aeronautics,True,Contains stock name: HAL,0.8031494993209838,positive,earnings,0.0,0.8126,0.9999991655349731
20250817_011845,HAL.NS,2025-08-12,"Hindustan Aeronautics Q1 PAT slides 4 YoY to Rs 1,384 cr - Business Standard",GoogleNewsRSS,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPU2dfNU1pcVNoS1NCbWhrdkk1c09QOWpSck91bVVkUFNhd1l0R2F5M1RXWVdPcmJlOUF6OWl5WDhfUzR0TmFYQTlBYjdjeC1uOW9hbHVOMDVKZ3JpNzljYlhfc0hJV0RTVjZBYllKdU94UmctcEtLR241TDFLUllSemRBVnlNZXhqMW4ya3BnNVozbUp3ZENqVHctYS1mY1llNGdJTUppOVFYSUljQlo3UVN5bFVnbUhQdm9jOVhXZTNIVk9veGdLcDFaSUYwSDk4TmJ1ONIB2gFBVV95cUxPbmllQVJkWHNjV0JRdGNkbWZ6ZnBNVHVtYnNQM2gyN2FJUUpwVTJJdFJZT0dDQVpQSmpWQkNFcGtMZTVXQTl0MXBJQWJKblNPWlgxSFd3aWZyNlJLM3kxdjNRM3pIYmthVkNyRzVJR2VudFVHLWV3WG8wS1JPbk9HVUZBUjBtdnk5WkdwZjJwQzJodmdaWTBlcDNFMGFrSEZEQ1FGcUxKTUhXODlxbmowR0NsMFVyM2ZVZXFBZkNMcWZ4bUFkOXBkRkJReFJMVGNGcVVybHh5TGV6QQ?oc=5,Hindustan Aeronautics,True,Contains stock name: Hindustan Aeronautics,-0.00011203817557543516,neutral,earnings,0.0,0.0,-0.00018673029262572527
20250817_011845,HAL.NS,2025-06-15,Hindustan Aeronautics consolidated net profit declines 3.71 in the June 2025 quarter - Business Standard,GoogleNewsRSS,https://news.google.com/rss/articles/CBMi-gFBVV95cUxPUXBaQ2V6VkhSZGctOHlaNTIxMUw5MDZITmQ0TjVrV3ljdnBDYmwyVUh6LWZGWjNsaHY0X1h5bEhTeG9NRlpOd0tFWmVrcHJsQ0ZzOGF2OUY1SWZrVEdVSk9aVmlsZjZEQjkyWHloeVJUNWk2U0k0UndaYUNiSXlDcGxyTmQxV1AyTS1vaGZQaGVKWHU5ODVSN04tX0luNVpIWDJqcWFOTVhCLXVwM1JPYzZsWWpxNFQyeDBXbWwya1hDT0ttRGs5a08tZXVaMXVpUmlKN01yRzBoaGtuTkZFMUJTcHVrTGFlaVB6RG9vSjJubXl6UjVaSXRB0gH_AUFVX3lxTE1zZlVELUNRYVlTeWVkbFBHVTJZOHhmWHkyc0kzcy11anZSbGtwTDB1bzhUWWszTmxxUGhFOThQYTBuOTFhQjQxTmhSeWRQRVZ3RmtReVVobEx2QVdiT25UME52RXpJODVBTkwwQWNLV1JhYnM3eVk5Uy1VWEpXY1JRajRudUlfWnU2ZlBwZjY5SlNrUURzd3JRQ3ZNZk9jX19iNm80S19MNEZMNWswQTUxN0t3OUFtdk1jUHQwX3JOZTBwU2lYYVJTejF1MHdnRl9Td2E3S2hqSzlOalJ2TzBLNTJjYnF5T2N6ZTkyX0N5U2otbS0zWU94NGdRcTRQYw?oc=5,Hindustan Aeronautics,True,Contains stock name: Hindustan Aeronautics,-0.4898981045722961,negative,earnings,0.0,0.4404,-0.9999968409538269
20250817_011845,HAL.NS,2025-08-13,"HAL Motilal Oswal sees 32 upside on Tejas, 2 other Make-In-India initiatives  Whats next for investors? - financialexpress.com",GoogleNewsRSS,https://news.google.com/rss/articles/CBMi4wFBVV95cUxNN21OREFzM3F4ejhOblJjUVVFTmtqTGdlWW03MGRGWlJCV1E0Nks0cUhUSWxLU1pvYkpxSlc1THlPYXZwaWFWS0xuYXYyWkZXN0xfci1XWlBPSk9sRzJoOGdQempEVFBOODJtYW85NkIxV1dtZHVNRkM5NkJuNGprRXFTYU5xMDVuZWpUM2FnM2o5bXh4Q3ZUakowU3hzT1RQVThOXzhGWmJjeU1hSmExNk50YTZaVU9iRE0xWm9GQzYxMjE2SEtVNDcybU5Ma182RWtGSDhpdWNDaUZrTG9jRXphaw?oc=5,Hindustan Aeronautics,True,Contains stock name: HAL,0.5906102657318115,positive,general,-0.0625,0.0,0.9999754428863525
20250817_011845,HAL.NS,2025-08-13,Page 10 of Hindustan Aeronautics - financialexpress.com,GoogleNewsRSS,https://news.google.com/rss/articles/CBMieEFVX3lxTFB4bHhuMXM2aEQ0OUpRZnA5MGtuMTJ3Zl9sRU0tY3lyZ1ZVd1NwZnZJWTFIZzBzaHdTU1U4Vm1BOVZfNUxyWXB1ODU5VVRYcnYyeUVVRVFrWElMWjExdUh5dUZSUUN0U2RBTG4xUUpQalNVbHdfRFVoMQ?oc=5,Hindustan Aeronautics,True,Contains stock name: Hindustan Aeronautics,-0.0003117984510026872,neutral,general,0.0,0.0,-0.0005196640850044787
20250817_011845,HAL.NS,2025-08-11,"HAL Q1 Results 2025 Preview Defence PSU may post 10 rise in PAT, 14 YoY revenue growth Tejas Mk1a deliveries eyed - Mint",GoogleNewsRSS,https://news.google.com/rss/articles/CBMijwJBVV95cUxONURqNU52SDNkbEdWSW9GRHJOaXJaeFMtMktBa1pRRkhlbF9pSHZFNXFRQTFrUW1LbDZzbkoyMlFXcC1KUG1rUzAwTGJ0SkdISGZXaWdEcXJIMjZCR0ZQQXoxalZia2NjbU1ocDV0cFJITzNCUDZuUnhWX1pOSHVxRXNuTU44T1NSUi10SmpNZjBHYVEwZkNLMU1nQ0FieVFMY3BlQW9XSVhxUkozVUc5eXpRbHRoaGs3dkpyUzhSUjlVZEJUY2RHV3NuclpoREFnWDd1b1ZkdGZsY1lxb2taUTlGd3pnU1hXbnRFaFg2ZVpnMTkyWlgxaDNaQkJNLTlDc3lHOFdFWXZfbjN2Y3hB0gGUAkFVX3lxTE9YeXBTb3FOV25WVTV4M0kyYkpRNTlDdGo2MENRVjBEcFcxelp1Tl9ON3NkNTl4RXEybUF4bDQ4emNuQ0tFeURac19yRDBTcUlvMTJfU1FKakVsWXNvLVE5a2ZaTDg5cFRmWHB2TmZwRXRMX3NwMFJKNmlqdHpBUDNXWnFweUQtOTdrZ0h0U1h5ZFVQWHFIaWZCdGlqVWc0THItek42d3ZPVXRKdGZVTHhROUoxVmFzTEtOVmNOeVZXY2UzSzFReC1CYjhpOFZHTVlrb3NPcWdDLUVCSl90RzYwNU1wVzNMTVhEWEpLaGpScFpIYkVpQmNjeFlsbDlsSkFlelMxdHNWSUkxREJsMEo2cEhPMA?oc=5,Hindustan Aeronautics,True,Contains stock name: HAL,0.4108425542831421,positive,earnings,0.0,0.4588,0.4935709238052368
20250817_011845,HAL.NS,2025-08-12,"Q1 Results Today ONGC, HAL, Nykaa, NMDC, Suzlon Energy, Zydus among 580 companies to announce earnings on August 12 - Mint",GoogleNewsRSS,https://news.google.com/rss/articles/CBMijAJBVV95cUxNZTFZUEh6YVZZYUZBWV9KSHJJTUE5WjNNeGZwUUp2VExQekdIcTVQaWNaQWNzXzVodTV1MkJPS1FCbmJPaHVBNzNILXFjM3VOTVdhQnVDbk4ycTBDUFRMb0h4QVhzeElsSVBtaVhRcUFsTFVDWmktNm9JZk5GZFFWNTRjdXp3T0Q3QVVPSi1SY1plSGdTNmRXaVFOX2FoSWswbnhyQjJ5T2MxakE3a1lzdzJuTklqbXM3TTUzTmY5MDVwRVVrZHRJYXp5Sk9hRno2dXRHOGlfTnhRMi1HVkdwRHFlUTIzMXlVdEtYdHlHNlozYU1aUWltVWkzM1Q3RC14NDNVRGtXY2hMbGpl0gGSAkFVX3lxTE50RVBTRDE3U1ZpWVg0Uk14OWNRbjhYd2xyeG1RWjRjNWtsSldUMWJINDhpcnhkZXRRY0J4bVRWdVQxb3E3TUlQWXIxQWNIdTVXZmJnRTJBQ3dxMkM4Z3Rtcy1uWFhVUHc1SHhkVi1SSW9DTzhFckFYT1ROeFMyeEdIVU0tVVZMby1KTnh4QjlXcGhWNGdqYUJkVHJqS05YVG5fS3FDbGppaGt4aG50dUwzRUYtYU16M1o3N2VmeFVXb3Vad0ZJSjc0U0tCUlAyUFp2VWE3X2wzQy1vdHczNTh1eU9oS0l1dWR6ckZmREVOZTVXTHFNTmxHZUVIb3VvWlFlcEpXZ2hEMkVKZVVrbFktd0E?oc=5,Hindustan Aeronautics,True,Contains stock name: HAL,0.06829812815499353,neutral,earnings,0.0,0.2732,-3.1197416774375597e-06
20250817_011845,HAL.NS,2025-08-13,"Hindustan Aeronautics shares rise as Q1 show beats estimates, brokerages see 38 upside - Moneycontrol",GoogleNewsRSS,https://news.google.com/rss/articles/CBMi6wFBVV95cUxQNThUN1JWMTNtYXh6Umdta3FuT0otbDc2WDA2Y2YzQ25nZ2RNZXVLczFWQ29zTnlmRTcwa1J5dkxCSFBDM2lYb2FVNzkxVWNaNExMaWRUNVo1aTBXS3RCVmxKSG1DeGZsYUlxelMxcmsxdG1BY1QxWEtxSU9hUFlQX2xmcFZPU3A1OW5hdzRfOExKY3NOMW9BWlBZR19qT2tXbUpGdFJCVVIwQXZTdE14cHRmaDk2STRzOThzTTlLWUJOcWhTZmQwQmtMTm9oMm9VU2pSdHF5RFdwQkN6Rlc0S0drT1NMdjUzWElV0gHwAUFVX3lxTE1IeHMwTk03ZGNobjR6Ujd1aEZFamliQmZVMEd1Q0l6ZlpQMVk2RnhWOTFCNG45YTFqRDlxRnNEZXZLZlVKaVlVeGdCQ2NtSHZvYjlNNFo2NWdpV2MzMk52UWM3d0R4cDZiOWg2MjQzVG1PWmhTYkxuNWh2MGVHYlFvT0xTYU04Snl5WWJBYmdKanhNY1hUV29ndnB2WGRqRXo0WFM3eFVmQml1ZkMtSWwzWl8xbXN5YkRKSzR4blQteHBuU2E4QTNLMjE0Q1lXc1MyZmlENGVnM0NKVnl1YzRmZ18wS3I4N0RqRlZ5M0t2aQ?oc=5,Hindustan Aeronautics,True,Contains stock name: Hindustan Aeronautics,0.6739999999999999,positive,earnings,0.0,0.296,1.0
20250817_011845,HAL.NS,2025-08-12,"Q1 results today HAL, Nykaa, ONGC, Jindal Steel, 580 others on Aug 12 - Business Standard",GoogleNewsRSS,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNamQyNk9GS1phaHI0Y0M0dlIydFZidmFLSWZzWGhqVzVueEFSTzBJdXhIVG9mUEEydUxMay1mWXpIcTh6clJocTFVamFCQ0R4QkJRemlHb2t3T1RDOHlfU3ZzQ01idWd1VFFPcXlrVG1VSGRYX0NMOHp0R2FfWE1EQTR1RHpNTTdBRlNONjlFb3dGMVRzdXdpX21kckp4NWE3Ml9LRldEa1VVeHZaSDk4RW9kY3NnSnpVRmdRT0tUTGpJQS1NMUtWWk0zUU1QczNsTlJTc2I2VF8yd1JrY1RtONIB5gFBVV95cUxQSklhUVd0S21hdklwazk3SlptZmdTWlNoYlVIZ0lQY2tHdUk3QlVmWWowdjdDOEIydkRIWjU3XzFJcV9Yc2hVemdOTmN4bjgwLWdXekV6WVlleFh3OFV0d3F2eGw2c3k2QWs3TGRBbUlFVmdIRURZejBaY0ZCVExzVnN1a3E3eXMwZnBybllrUnpGRGxZRTl3QVFvS2tucy1XdHB1cnh5eHRiSS1kVHBDU2E1azRaRjZjT0lGN3JvN1YtdTVtbnVLVTVSekdqNDVmc0lwdTdIc2ZsOGNJcGFPWmRuTHp3Zw?oc=5,Hindustan Aeronautics,True,Contains stock name: HAL,-1.0938295645246398e-06,neutral,earnings,0.0,0.0,-1.823049274207733e-06
