symbol,total_news,relevant_news,relevance_rate,top_source,top_rejection_reason,avg_sentiment,sentiment_range
BEL.NS,18,18,100.0,GoogleNewsRSS,None,0.15607345246596557,-0.55 to 0.76
BPCL.NS,41,38,92.6829268292683,GoogleNewsRSS,Other relevance criteria not met,0.2486510152050397,-0.20 to 0.77
COCHINSHIP.NS,21,21,100.0,GoogleNewsRSS,None,0.2345891836705872,-0.49 to 0.76
GRSE.NS,41,38,92.6829268292683,GoogleNewsRSS,Other relevance criteria not met,0.25955900897552664,-0.74 to 0.88
HAL.NS,47,46,97.87234042553192,GoogleNewsRSS,No stock name mention,0.08521061203054395,-0.59 to 0.80
HCLTECH.NS,11,11,100.0,GoogleNewsRSS,None,0.22456239553210067,0.08 to 0.74
HCLTECH.NS,10,10,100.0,GoogleNewsRSS,None,0.23877040710652414,0.10 to 0.74
HDFCBANK.NS,30,30,100.0,GoogleNewsRSS,None,0.04610411873876499,-0.82 to 0.74
HDFCBANK.NS,30,30,100.0,GoogleNewsRSS,None,0.040367423616258266,-0.82 to 0.74
HINDUNILVR.NS,15,15,100.0,GoogleNewsRSS,None,0.1654873519051775,-0.00 to 0.72
ICICIBANK.NS,58,56,96.55172413793103,GoogleNewsRSS,Other relevance criteria not met,-0.023301940873643,-0.73 to 0.61
ICICIBANK.NS,63,61,96.82539682539682,GoogleNewsRSS,Other relevance criteria not met,-0.016608366186649834,-0.73 to 0.61
INFY.NS,33,29,87.87878787878788,GoogleNewsRSS,Other relevance criteria not met,0.12923132934818204,-0.58 to 0.83
INFY.NS,37,33,89.1891891891892,GoogleNewsRSS,Other relevance criteria not met,0.12019476385033143,-0.58 to 0.83
ITC.NS,31,18,58.06451612903226,NSE/BSE,Other relevance criteria not met,0.08152789327892646,-0.50 to 0.75
KOTAKBANK.NS,8,8,100.0,GoogleNewsRSS,None,0.030995082909899115,-0.08 to 0.15
KOTAKBANK.NS,7,7,100.0,GoogleNewsRSS,None,-0.0022712703802934297,-0.08 to 0.15
M&M.NS,34,33,97.05882352941177,GoogleNewsRSS,Other relevance criteria not met,0.10409547498755936,-0.12 to 0.71
MARUTI.NS,22,22,100.0,GoogleNewsRSS,None,-0.005137083390092306,-0.71 to 0.60
NESTLEIND.NS,5,5,100.0,GoogleNewsRSS,None,0.05113489392846484,-0.06 to 0.17
ONGC.NS,24,23,95.83333333333334,GoogleNewsRSS,Other relevance criteria not met,-0.04319741695728149,-0.81 to 0.60
ONGC.NS,21,21,100.0,GoogleNewsRSS,None,-0.05044842985608394,-0.81 to 0.60
RELIANCE.NS,23,21,91.30434782608695,GoogleNewsRSS,Other relevance criteria not met,-0.012084226261779152,-0.72 to 0.29
RELIANCE.NS,22,19,86.36363636363636,GoogleNewsRSS,Other relevance criteria not met,-0.011912295318381422,-0.72 to 0.29
SBIN.NS,47,46,97.87234042553192,GoogleNewsRSS,Other relevance criteria not met,0.18180834731559253,-0.69 to 0.84
SBIN.NS,43,42,97.67441860465115,GoogleNewsRSS,Other relevance criteria not met,0.2083251494193956,-0.69 to 0.84
TATAMOTORS.NS,32,32,100.0,GoogleNewsRSS,None,0.003103840831731531,-0.68 to 0.77
TCS.NS,14,13,92.85714285714286,GoogleNewsRSS,Other relevance criteria not met,0.23806107461252882,-0.06 to 0.79
TCS.NS,12,11,91.66666666666666,GoogleNewsRSS,Other relevance criteria not met,0.22286554672958606,-0.06 to 0.79
WIPRO.NS,12,10,83.33333333333334,GoogleNewsRSS,Other relevance criteria not met,0.32765223805619703,0.03 to 0.83
WIPRO.NS,12,10,83.33333333333334,GoogleNewsRSS,Other relevance criteria not met,0.32765223805619703,0.03 to 0.83
