symbol,date,ensemble_score_mean,ensemble_score_std,ensemble_score_count,confidence_mean,relevance_score_mean,sentiment_lag1,sentiment_lag2
BEL.NS,2025-05-22,0.0914,,1,0.0914,1.0,,
BEL.NS,2025-05-23,0.4511,,1,0.4511,1.0,0.0914,
BEL.NS,2025-05-26,-0.1536,,1,0.1536,1.0,0.4511,0.0914
BEL.NS,2025-05-27,-0.0807,,1,0.0807,1.0,-0.1536,0.4511
BEL.NS,2025-05-28,0.0156,0.1735,2,0.1227,1.0,-0.0807,-0.1536
BEL.NS,2025-05-29,0.038,,1,0.038,1.0,0.0156,-0.0807
BEL.NS,2025-06-03,-0.2393,,1,0.2393,1.0,0.038,0.0156
BEL.NS,2025-06-04,0.0613,0.3217,2,0.2275,1.0,-0.2393,0.038
BEL.NS,2025-06-05,-0.1262,,1,0.1262,1.0,0.0613,-0.2393
BEL.NS,2025-06-06,0.4443,,1,0.4443,1.0,-0.1262,0.0613
BEL.NS,2025-06-09,0.4601,,1,0.4601,1.0,0.4443,-0.1262
BEL.NS,2025-06-13,-0.6934,,1,0.6934,1.0,0.4601,0.4443
BEL.NS,2025-06-16,-0.065,,1,0.065,1.0,-0.6934,0.4601
BEL.NS,2025-06-17,-0.3854,,1,0.3854,1.0,-0.065,-0.6934
BEL.NS,2025-06-18,0.4797,,1,0.4797,1.0,-0.3854,-0.065
BEL.NS,2025-06-20,0.3326,0.1279,2,0.3326,1.0,0.4797,-0.3854
BEL.NS,2025-06-22,0.2592,,1,0.2592,1.0,0.3326,0.4797
BEL.NS,2025-06-23,-0.081,0.5222,3,0.3789,1.0,0.2592,0.3326
BEL.NS,2025-06-24,0.3247,0.1792,2,0.3247,1.0,-0.081,0.2592
BEL.NS,2025-06-25,0.1709,0.3143,2,0.2223,1.0,0.3247,-0.081
BEL.NS,2025-06-26,0.1074,0.3384,2,0.2393,1.0,0.1709,0.3247
BEL.NS,2025-07-01,0.5679,0.1668,2,0.5679,1.0,0.1074,0.1709
BEL.NS,2025-07-04,-0.2938,,1,0.2938,1.0,0.5679,0.1074
BEL.NS,2025-07-07,0.1979,,1,0.1979,1.0,-0.2938,0.5679
BEL.NS,2025-07-14,-0.094,,1,0.094,1.0,0.1979,-0.2938
BEL.NS,2025-07-15,0.4287,,1,0.4287,1.0,-0.094,0.1979
BEL.NS,2025-07-18,0.2392,,1,0.2392,1.0,0.4287,-0.094
BEL.NS,2025-07-25,0.1347,0.4217,2,0.2982,1.0,0.2392,0.4287
BEL.NS,2025-07-27,0.3457,,1,0.3457,1.0,0.1347,0.2392
BEL.NS,2025-07-28,0.049,0.3482,4,0.2908,1.0,0.3457,0.1347
BEL.NS,2025-07-29,-0.1225,0.3943,4,0.3408,1.0,0.049,0.3457
BEL.NS,2025-07-30,0.453,,1,0.453,1.0,-0.1225,0.049
BEL.NS,2025-07-31,0.1625,,1,0.1625,1.0,0.453,-0.1225
BEL.NS,2025-08-01,0.4157,0.0483,2,0.4157,1.0,0.1625,0.453
BEL.NS,2025-08-04,0.1026,0.3281,12,0.2868,0.6708,0.4157,0.1625
BEL.NS,2025-08-05,0.3597,0.2446,6,0.3783,0.7,0.1026,0.4157
BEL.NS,2025-08-06,0.3432,0.2645,10,0.3489,0.695,0.3597,0.1026
BEL.NS,2025-08-07,0.2431,0.281,3,0.2939,0.7,0.3432,0.3597
BEL.NS,2025-08-08,0.232,0.3332,5,0.3372,0.7,0.2431,0.3432
BEL.NS,2025-08-09,0.4256,0.0262,2,0.4256,1.0,0.232,0.2431
BEL.NS,2025-08-10,0.2529,0.0537,2,0.2529,0.55,0.4256,0.232
BEL.NS,2025-08-11,0.2207,0.2721,11,0.3041,0.6727,0.2529,0.4256
BEL.NS,2025-08-12,0.3004,0.3385,8,0.4009,0.7,0.2207,0.2529
BEL.NS,2025-08-13,0.2849,0.1727,7,0.3008,0.7429,0.3004,0.2207
BEL.NS,2025-08-14,0.4801,0.196,18,0.4995,0.6639,0.2849,0.3004
BEL.NS,2025-08-15,0.4265,0.2262,21,0.4484,0.6238,0.4801,0.2849
BEL.NS,2025-08-16,0.5506,0.0649,4,0.5506,0.55,0.4265,0.4801
BHEL.NS,2025-02-01,0.035,,1,0.035,1.0,,
BHEL.NS,2025-02-11,-0.1199,,1,0.1199,1.0,0.035,
BHEL.NS,2025-02-17,0.4502,,1,0.4502,1.0,-0.1199,0.035
BHEL.NS,2025-02-18,0.288,0.2352,2,0.288,1.0,0.4502,-0.1199
BHEL.NS,2025-02-21,0.1647,,1,0.1647,1.0,0.288,0.4502
BHEL.NS,2025-03-03,0.4523,,1,0.4523,1.0,0.1647,0.288
BHEL.NS,2025-03-10,0.4514,,1,0.4514,1.0,0.4523,0.1647
BHEL.NS,2025-03-21,-0.147,,1,0.147,1.0,0.4514,0.4523
BHEL.NS,2025-03-26,0.602,,1,0.602,1.0,-0.147,0.4514
BHEL.NS,2025-03-28,-0.2097,0.1044,2,0.2097,1.0,0.602,-0.147
BHEL.NS,2025-04-11,0.0755,0.5313,2,0.3757,1.0,-0.2097,0.602
BHEL.NS,2025-04-15,-0.3018,,1,0.3018,1.0,0.0755,-0.2097
BHEL.NS,2025-04-16,0.4517,,1,0.4517,1.0,-0.3018,0.0755
BHEL.NS,2025-04-17,0.6865,,1,0.6865,1.0,0.4517,-0.3018
BHEL.NS,2025-04-20,0.618,,1,0.618,1.0,0.6865,0.4517
BHEL.NS,2025-04-24,0.1708,,1,0.1708,1.0,0.618,0.6865
BHEL.NS,2025-04-25,0.4495,,1,0.4495,1.0,0.1708,0.618
BHEL.NS,2025-05-12,0.0057,0.6356,2,0.4494,1.0,0.4495,0.1708
BHEL.NS,2025-05-13,0.1686,,1,0.1686,1.0,0.0057,0.4495
BHEL.NS,2025-05-16,-0.3961,0.1154,3,0.3961,1.0,0.1686,0.0057
BHEL.NS,2025-05-20,0.0658,,1,0.0658,1.0,-0.3961,0.1686
BHEL.NS,2025-05-21,0.5508,,1,0.5508,1.0,0.0658,-0.3961
BHEL.NS,2025-05-23,0.4234,0.0126,2,0.4234,0.55,0.5508,0.0658
BHEL.NS,2025-05-24,0.4527,0.0482,3,0.4527,0.5,0.4234,0.5508
BHEL.NS,2025-05-25,0.2728,0.2606,2,0.2728,0.7,0.4527,0.4234
BHEL.NS,2025-05-26,0.3633,0.3106,3,0.3633,0.7,0.2728,0.4527
BHEL.NS,2025-05-27,0.5848,0.0962,7,0.5848,0.7714,0.3633,0.2728
BHEL.NS,2025-05-28,0.518,,1,0.518,0.7,0.5848,0.3633
BHEL.NS,2025-05-29,0.6421,,1,0.6421,0.7,0.518,0.5848
BHEL.NS,2025-06-01,0.5311,0.0986,2,0.5311,0.825,0.6421,0.518
BHEL.NS,2025-06-02,0.4546,0.274,6,0.4616,0.6,0.5311,0.6421
BHEL.NS,2025-06-03,0.3239,0.3282,4,0.3965,0.625,0.4546,0.5311
BHEL.NS,2025-06-05,-0.0395,,1,0.0395,0.7,0.3239,0.4546
BHEL.NS,2025-06-06,0.4279,,1,0.4279,0.4,-0.0395,0.3239
BHEL.NS,2025-06-09,0.5117,0.1107,2,0.5117,0.55,0.4279,-0.0395
BHEL.NS,2025-06-10,0.3505,0.3081,6,0.4186,0.7917,0.5117,0.4279
BHEL.NS,2025-06-12,0.7194,,1,0.7194,0.7,0.3505,0.5117
BHEL.NS,2025-06-13,0.1465,0.1679,2,0.1465,0.7,0.7194,0.3505
BHEL.NS,2025-06-16,0.4004,0.1373,4,0.4004,0.7625,0.1465,0.7194
BHEL.NS,2025-06-17,0.653,,1,0.653,0.4,0.4004,0.1465
BHEL.NS,2025-06-18,0.2405,0.3443,3,0.2922,0.7,0.653,0.4004
BHEL.NS,2025-06-19,0.0172,0.3155,4,0.2658,0.775,0.2405,0.653
