symbol,sector,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,Banking,,,,,,,,,,,,,,,,,,,,,,,
ICICIBANK,Banking,,,,,,,,,,,,,,,,,,,,,,,
SBIN,Banking,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,Banking,,,,,,,,,,,,,,,,,,,,,,,
TCS,IT Services,,,,,,,,,,,,,,,,,,,,,,,
INFY,IT Services,,,,,,,,,,,,,,,,,,,,,,,
HCLTECH,IT Services,,,,,,,,,,,,,,,,,,,,,,,
WIPRO,IT Services,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,Energy,,,,,,,,,,,,,,,,,,,,,,,
ONGC,Energy,,,,,,,,,,,,,,,,,,,,,,,
BPCL,Energy,,,,,,,,,,,,,,,,,,,,,,,
ITC,FMCG,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,FMCG,,,,,,,,,,,,,,,,,,,,,,,
NESTLEIND,FMCG,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,Automotive,,,,,,,,,,,,,,,,,,,,,,,
M&M,Automotive,,,,,,,,,,,,,,,,,,,,,,,
TATAMOTORS,Automotive,,,,,,,,,,,,,,,,,,,,,,,
HAL,Defense,,,,,,,,,,,,,,,,,,,,,,,
BEL,Defense,,,,,,,,,,,,,,,,,,,,,,,
BHEL,Defense,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,Defense,,,,,,,,,,,,,,,,,,,,,,,
GRSE,Defense,,,,,,,,,,,,,,,,,,,,,,,
KALYANKJIL,Jewelry,,,,,,,,,,,,,,,,,,,,,,,
TITAN,Jewelry,,,,,,,,,,,,,,,,,,,,,,,
RAJESHEXPO,Jewelry,,,,,,,,,,,,,,,,,,,,,,,
THANGAMAYL,Jewelry,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,            ,,,,,,,,,,,,,,,,,,,,,,,
,            ,,,,,,,,,,,,,,,,,,,,,,,
,            ,,,,,,,,,,,,,,,,,,,,,,,
,            ,,,,,,,,,,,,,,,,,,,,,,,
,            ,,,,,,,,,,,,,,,,,,,,,,,
,            ,,,,,,,,,,,,,,,,,,,, ,GRSE,: ,Defense
,            ,,,,,,,,,,,,,,,,,,,,,,,
