date,open,high,low,close,volume,symbol
01-02-2025,1679.028824,1694.360162,1657.812278,1672.550049,2793764,HDFCBANK
03-02-2025,1651.82814,1668.445381,1645.349364,1659.741089,10138270,HDFCBANK
04-02-2025,1670.324623,1707.021022,1661.768844,1702.174316,14308251,HDFCBANK
05-02-2025,1714.142563,1725.220643,1700.196015,1718.890381,11837753,HDFCBANK
06-02-2025,1716.615395,1729.968497,1705.240531,1724.874512,13380358,HDFCBANK
07-02-2025,1730.95756,1747.772576,1706.229594,1713.895264,11754800,HDFCBANK
10-02-2025,1698.613504,1704.696488,1689.909212,1697.080322,8597975,HDFCBANK
11-02-2025,1684.46904,1692.381989,1670.324595,1682.886475,11362352,HDFCBANK
12-02-2025,1674.577897,1693.371152,1662.906249,1688.227783,11404785,HDFCBANK
13-02-2025,1680.512587,1695.596647,1675.121939,1679.226685,6301217,HDFCBANK
14-02-2025,1683.38105,1683.38105,1661.719327,1676.407715,9979946,HDFCBANK
17-02-2025,1666.862654,1701.28403,1662.955684,1698.662842,6469473,HDFCBANK
18-02-2025,1694.409717,1712.708412,1687.584774,1704.300903,8175455,HDFCBANK
19-02-2025,1698.316678,1718.989281,1693.81614,1708.40564,5942056,HDFCBANK
20-02-2025,1692.382026,1696.041716,1666.961724,1668.742065,13195255,HDFCBANK
21-02-2025,1662.6095,1676.506544,1658.999193,1674.083252,7840470,HDFCBANK
24-02-2025,1662.807305,1665.873548,1643.024932,1658.85083,10346823,HDFCBANK
25-02-2025,1652.916117,1669.632246,1652.916117,1664.043701,12069354,HDFCBANK
27-02-2025,1664.241564,1692.13466,1664.241564,1682.19397,17893400,HDFCBANK
28-02-2025,1666.664946,1718.346396,1666.664946,1713.549194,27258364,HDFCBANK
03-03-2025,1720.868701,1724.083337,1675.665906,1683.034912,10602682,HDFCBANK
04-03-2025,1679.523399,1695.646081,1674.825086,1691.392822,9960479,HDFCBANK
05-03-2025,1683.430393,1692.184189,1669.879516,1671.610474,10791936,HDFCBANK
06-03-2025,1668.643113,1681.402768,1654.053614,1672.797363,16483044,HDFCBANK
07-03-2025,1663.697542,1682.639188,1659.345396,1670.868652,6686457,HDFCBANK
10-03-2025,1670.621373,1681.402791,1664.736166,1669.137695,7802025,HDFCBANK
11-03-2025,1664.09318,1675.566932,1651.87759,1667.159424,9949215,HDFCBANK
12-03-2025,1673.143694,1699.800393,1673.143694,1692.530396,9392053,HDFCBANK
13-03-2025,1697.377028,1702.075342,1681.551131,1688.029785,7868132,HDFCBANK
