horizon,bundle,model,bundle_type,n_features,train_size,test_size,accuracy,precision,recall,f1_score,specificity,roc_auc,true_positives,true_negatives,false_positives,false_negatives,positive_predictive_value,negative_predictive_value,balanced_accuracy,f2_score,mcc
1,sentiment_only,logistic_l1,sentiment,7,169,241,0.5062240663900415,0.38235294117647056,0.2524271844660194,0.30409356725146197,0.6956521739130435,0.45532573519065705,26,96,42,77,0.38235294117647056,0.5549132947976878,0.47403967918953144,0.2708333333333333,-0.05707168544486973
1,sentiment_only,logistic_l2,sentiment,7,169,241,0.5062240663900415,0.38571428571428573,0.2621359223300971,0.31213872832369943,0.6884057971014492,0.45511467567187275,27,95,43,76,0.38571428571428573,0.5555555555555556,0.47527085971577315,0.2800829875518672,-0.053895200791035255
1,sentiment_only,random_forest,sentiment,7,169,241,0.5020746887966805,0.4297520661157025,0.5048543689320388,0.4642857142857143,0.5,0.5148445194878288,52,69,69,51,0.4297520661157025,0.575,0.5024271844660194,0.4878048780487805,0.004802945150119932
1,sentiment_only,gradient_boosting,sentiment,7,169,241,0.46473029045643155,0.42073170731707316,0.6699029126213593,0.5168539325842697,0.3115942028985507,0.4925425636696215,69,43,95,34,0.42073170731707316,0.5584415584415584,0.49074855775995496,0.5989583333333334,-0.019630452306698774
1,sentiment_only,xgboost,sentiment,7,169,241,0.49377593360995853,0.42748091603053434,0.5436893203883495,0.47863247863247865,0.45652173913043476,0.5298297453215141,56,63,75,47,0.42748091603053434,0.5727272727272728,0.5001055297593922,0.5156537753222836,0.00020961922392534173
1,sentiment_only,svm_rbf,sentiment,7,169,241,0.4854771784232365,0.40186915887850466,0.4174757281553398,0.4095238095238095,0.5362318840579711,0.5353172928099057,43,74,64,60,0.40186915887850466,0.5522388059701493,0.4768538061066554,0.4142581888246628,-0.04609177678877745
1,sentiment_only,knn,sentiment,7,169,241,0.43983402489626555,0.3974358974358974,0.6019417475728155,0.47876447876447875,0.3188405797101449,0.4729140284226819,62,44,94,41,0.3974358974358974,0.5176470588235295,0.4603911636414802,0.545774647887324,-0.08201786743837745
1,sentiment_only,naive_bayes,sentiment,7,169,241,0.4979253112033195,0.4423076923076923,0.6699029126213593,0.5328185328185329,0.3695652173913043,0.47762769100886454,69,51,87,34,0.4423076923076923,0.6,0.5197340650063318,0.6073943661971831,0.04086325367045271
1,technical_only,logistic_l1,technical,49,169,241,0.4979253112033195,0.453125,0.8446601941747572,0.5898305084745763,0.2391304347826087,0.5408751934712255,87,33,105,16,0.453125,0.673469387755102,0.541895314478683,0.7201986754966887,0.10299234618394064
1,technical_only,logistic_l2,technical,49,169,241,0.46887966804979253,0.4371859296482412,0.8446601941747572,0.5761589403973509,0.18840579710144928,0.5408751934712255,87,26,112,16,0.4371859296482412,0.6190476190476191,0.5165329956381033,0.7119476268412439,0.043120969731761036
1,technical_only,random_forest,technical,49,169,241,0.4190871369294606,0.4170403587443946,0.9029126213592233,0.5705521472392638,0.057971014492753624,0.5434079076966372,93,8,130,10,0.4170403587443946,0.4444444444444444,0.4804418179259885,0.7322834645669292,-0.07360849732537987
1,technical_only,gradient_boosting,technical,49,169,241,0.44398340248962653,0.4093567251461988,0.6796116504854369,0.5109489051094891,0.26811594202898553,0.47298438159560996,70,37,101,33,0.4093567251461988,0.5285714285714286,0.4738637962572112,0.6003430531732419,-0.05696178405083811
1,technical_only,xgboost,technical,49,169,241,0.45643153526970953,0.42473118279569894,0.7669902912621359,0.5467128027681661,0.2246376811594203,0.5040101308569016,79,31,107,24,0.42473118279569894,0.5636363636363636,0.4958139862107781,0.6605351170568562,-0.009868496444531917
1,technical_only,svm_rbf,technical,49,169,241,0.4979253112033195,0.4274193548387097,0.5145631067961165,0.4669603524229075,0.4855072463768116,0.4874067820458703,53,67,71,50,0.4274193548387097,0.5726495726495726,0.500035176586464,0.4944029850746269,6.963668216267969e-05
1,technical_only,knn,technical,49,169,241,0.5103734439834025,0.4528301886792453,0.6990291262135923,0.549618320610687,0.3695652173913043,0.5224426621640635,72,51,87,31,0.4528301886792453,0.6219512195121951,0.5342971718024483,0.6304728546409807,0.07162109751142948
1,technical_only,naive_bayes,technical,49,169,241,0.4605809128630705,0.4372093023255814,0.912621359223301,0.5911949685534591,0.12318840579710146,0.5392570704938793,94,17,121,9,0.4372093023255814,0.6538461538461539,0.5179048825102013,0.7496012759170654,0.05710231597173088
1,hybrid,logistic_l1,hybrid,56,169,241,0.5103734439834025,0.44966442953020136,0.6504854368932039,0.5317460317460317,0.4057971014492754,0.5215280709159983,67,56,82,36,0.44966442953020136,0.6086956521739131,0.5281412691712397,0.5971479500891266,0.05731189698642019
1,hybrid,logistic_l2,hybrid,56,169,241,0.4854771784232365,0.43636363636363634,0.6990291262135923,0.5373134328358209,0.32608695652173914,0.5304629238778669,72,45,93,31,0.43636363636363634,0.5921052631578947,0.5125580413676657,0.6239168110918544,0.02673999318935236
1,hybrid,random_forest,hybrid,56,169,241,0.4315352697095436,0.42342342342342343,0.912621359223301,0.5784615384615385,0.07246376811594203,0.529126213592233,94,10,128,9,0.42342342342342343,0.5263157894736842,0.4925425636696215,0.7413249211356467,-0.027379430955902964
1,hybrid,gradient_boosting,hybrid,56,169,241,0.4315352697095436,0.40555555555555556,0.7087378640776699,0.5159010600706714,0.2246376811594203,0.47875334177571405,73,31,107,30,0.40555555555555556,0.5081967213114754,0.4666877726185451,0.6165540540540541,-0.075803743497775
1,hybrid,xgboost,hybrid,56,169,241,0.46887966804979253,0.4260355029585799,0.6990291262135923,0.5294117647058824,0.2971014492753623,0.5223723089911354,72,41,97,31,0.4260355029585799,0.5694444444444444,0.4980652877444773,0.6196213425129088,-0.004182105009436313
1,hybrid,svm_rbf,hybrid,56,169,241,0.49377593360995853,0.42962962962962964,0.5631067961165048,0.48739495798319327,0.4420289855072464,0.47572815533980584,58,61,77,45,0.42962962962962964,0.5754716981132075,0.5025678908118756,0.5301645338208409,0.005118525693829769
1,hybrid,knn,hybrid,56,169,241,0.4730290456431535,0.42207792207792205,0.6310679611650486,0.5058365758754864,0.35507246376811596,0.5143520472773323,65,49,89,38,0.42207792207792205,0.5632183908045977,0.4930702124665823,0.5742049469964664,-0.01427539335233812
1,hybrid,naive_bayes,hybrid,56,169,241,0.4605809128630705,0.4372093023255814,0.912621359223301,0.5911949685534591,0.12318840579710146,0.5392570704938793,94,17,121,9,0.4372093023255814,0.6538461538461539,0.5179048825102013,0.7496012759170654,0.05710231597173088
1,sentiment_core,logistic_l1,sentiment,4,169,241,0.48132780082987553,0.3382352941176471,0.22330097087378642,0.26900584795321636,0.6739130434782609,0.44554664415365136,23,93,45,80,0.3382352941176471,0.5375722543352601,0.44860700717602364,0.23958333333333334,-0.11298337728313641
1,sentiment_core,logistic_l2,sentiment,4,169,241,0.46887966804979253,0.3076923076923077,0.1941747572815534,0.23809523809523808,0.6739130434782609,0.4447024060785142,20,93,45,83,0.3076923076923077,0.5284090909090909,0.43404390037990714,0.20964360587002095,-0.1470381751888947
1,sentiment_core,random_forest,sentiment,4,169,241,0.5020746887966805,0.4260869565217391,0.47572815533980584,0.44954128440366975,0.5217391304347826,0.5104826227662866,49,72,66,54,0.4260869565217391,0.5714285714285714,0.4987336428872942,0.4648956356736243,-0.0025084771681013716
1,sentiment_core,gradient_boosting,sentiment,4,169,241,0.47717842323651455,0.4108527131782946,0.5145631067961165,0.45689655172413796,0.4492753623188406,0.4959898691430983,53,62,76,50,0.4108527131782946,0.5535714285714286,0.48191923455747854,0.4898336414048059,-0.0358674991723607
