horizon,bundle,model,accuracy,precision,recall,f1_score,roc_auc
1,sentiment_only,logistic_regression,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,0.5
1,sentiment_only,random_forest,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,0.5
1,sentiment_only,gradient_boosting,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,0.5
1,sentiment_only,svm_rbf,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,0.5
1,sentiment_only,neural_network,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,0.5
1,sentiment_only,xgboost,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,0.5
1,technical_only,logistic_regression,0.75,0.722972972972973,0.7430555555555556,0.7328767123287672,0.8365162037037037
1,technical_only,random_forest,0.7692307692307693,0.7168674698795181,0.8263888888888888,0.7677419354838709,0.8580109126984128
1,technical_only,gradient_boosting,0.7307692307692307,0.6744186046511628,0.8055555555555556,0.7341772151898734,0.8363508597883598
1,technical_only,svm_rbf,0.5673076923076923,0.6285714285714286,0.1527777777777778,0.24581005586592178,0.5919932208994709
1,technical_only,neural_network,0.5897435897435898,0.66,0.22916666666666666,0.3402061855670103,0.5500578703703703
1,technical_only,xgboost,0.7660256410256411,0.7100591715976331,0.8333333333333334,0.7667731629392971,0.845486111111111
1,hybrid_combined,logistic_regression,0.7435897435897436,0.7105263157894737,0.75,0.7297297297297297,0.8362268518518519
1,hybrid_combined,random_forest,0.7724358974358975,0.718562874251497,0.8333333333333334,0.7717041800643086,0.8528852513227514
1,hybrid_combined,gradient_boosting,0.7435897435897436,0.6882352941176471,0.8125,0.7452229299363057,0.8389550264550264
1,hybrid_combined,svm_rbf,0.5673076923076923,0.6285714285714286,0.1527777777777778,0.24581005586592178,0.5913318452380952
1,hybrid_combined,neural_network,0.5769230769230769,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.5420386904761905
1,hybrid_combined,xgboost,0.7628205128205128,0.7083333333333334,0.8263888888888888,0.7628205128205128,0.8526785714285714
2,sentiment_only,logistic_regression,0.4807692307692308,0.4807692307692308,1.0,0.6493506493506493,0.5
2,sentiment_only,random_forest,0.4807692307692308,0.4807692307692308,1.0,0.6493506493506493,0.5
2,sentiment_only,gradient_boosting,0.4807692307692308,0.4807692307692308,1.0,0.6493506493506493,0.5
2,sentiment_only,svm_rbf,0.4807692307692308,0.4807692307692308,1.0,0.6493506493506493,0.5
2,sentiment_only,neural_network,0.4807692307692308,0.4807692307692308,1.0,0.6493506493506493,0.5
2,sentiment_only,xgboost,0.4807692307692308,0.4807692307692308,1.0,0.6493506493506493,0.5
2,technical_only,logistic_regression,0.8846153846153846,0.8904109589041096,0.8666666666666667,0.8783783783783784,0.9479423868312756
2,technical_only,random_forest,0.8589743589743589,0.8486842105263158,0.86,0.8543046357615894,0.9465432098765433
2,technical_only,gradient_boosting,0.8493589743589743,0.8198757763975155,0.88,0.8488745980707395,0.9379012345679013
2,technical_only,svm_rbf,0.6314102564102564,0.9069767441860465,0.26,0.40414507772020725,0.6801851851851852
2,technical_only,neural_network,0.5897435897435898,0.5398550724637681,0.9933333333333333,0.6995305164319249,0.6547325102880659
2,technical_only,xgboost,0.8910256410256411,0.8670886075949367,0.9133333333333333,0.8896103896103896,0.9510699588477367
2,hybrid_combined,logistic_regression,0.8814102564102564,0.8843537414965986,0.8666666666666667,0.8754208754208754,0.948477366255144
2,hybrid_combined,random_forest,0.8653846153846154,0.8552631578947368,0.8666666666666667,0.8609271523178808,0.9450205761316873
2,hybrid_combined,gradient_boosting,0.8653846153846154,0.8417721518987342,0.8866666666666667,0.8636363636363636,0.9416872427983539
2,hybrid_combined,svm_rbf,0.6314102564102564,0.9069767441860465,0.26,0.40414507772020725,0.6848765432098765
2,hybrid_combined,neural_network,0.5769230769230769,0.5323741007194245,0.9866666666666667,0.6915887850467289,0.5315843621399177
2,hybrid_combined,xgboost,0.8846153846153846,0.8518518518518519,0.92,0.8846153846153846,0.9488065843621399
3,sentiment_only,logistic_regression,0.5384615384615384,0.0,0.0,0.0,0.5
3,sentiment_only,random_forest,0.5384615384615384,0.0,0.0,0.0,0.5
3,sentiment_only,gradient_boosting,0.5384615384615384,0.0,0.0,0.0,0.5
3,sentiment_only,svm_rbf,0.5384615384615384,0.0,0.0,0.0,0.5
3,sentiment_only,neural_network,0.5384615384615384,0.0,0.0,0.0,0.5
3,sentiment_only,xgboost,0.5384615384615384,0.0,0.0,0.0,0.5
3,technical_only,logistic_regression,0.842948717948718,0.8625954198473282,0.7847222222222222,0.8218181818181818,0.9083167989417991
3,technical_only,random_forest,0.8269230769230769,0.8125,0.8125,0.8125,0.9098875661375663
3,technical_only,gradient_boosting,0.842948717948718,0.8321678321678322,0.8263888888888888,0.8292682926829268,0.9191881613756614
3,technical_only,svm_rbf,0.657051282051282,0.9302325581395349,0.2777777777777778,0.42780748663101603,0.685495205026455
3,technical_only,neural_network,0.5512820512820513,0.5071942446043165,0.9791666666666666,0.6682464454976303,0.5139508928571428
3,technical_only,xgboost,0.8205128205128205,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.9045965608465608
3,hybrid_combined,logistic_regression,0.842948717948718,0.8625954198473282,0.7847222222222222,0.8218181818181818,0.9115823412698412
3,hybrid_combined,random_forest,0.842948717948718,0.8321678321678322,0.8263888888888888,0.8292682926829268,0.9162119708994709
3,hybrid_combined,gradient_boosting,0.8557692307692307,0.8613138686131386,0.8194444444444444,0.8398576512455516,0.9264632936507936
3,hybrid_combined,svm_rbf,0.5480769230769231,0.5054151624548736,0.9722222222222222,0.665083135391924,0.6901248346560847
3,hybrid_combined,neural_network,0.5512820512820513,0.5072463768115942,0.9722222222222222,0.6666666666666666,0.476645171957672
3,hybrid_combined,xgboost,0.8365384615384616,0.8206896551724138,0.8263888888888888,0.8235294117647058,0.9067046957671958
