symbol,date,open,high,low,close,volume
NIFTYIT,2025-02-01,42680.8,42855.95,41938.05,42030.3,10107086
NIFTYIT,2025-02-03,41592.2,42375.25,41328.25,42314.25,27108841
NIFTYIT,2025-02-04,42642.75,42931.1,42407.35,42860.2,32171930
NIFTYIT,2025-02-05,43060.65,43250.75,42818.1,42888.3,21924580
NIFTYIT,2025-02-06,43197.3,43431.8,42838.15,43020.95,26495845
NIFTYIT,2025-02-07,43106.15,43133.35,42623.45,42921.65,19183748
NIFTYIT,2025-02-10,42956.45,42973.65,42511.25,42596.55,21592951
NIFTYIT,2025-02-11,42616.9,42790.25,41866.6,41968.3,21543291
NIFTYIT,2025-02-12,42039.5,42263.05,41591.2,41733.0,23640710
NIFTYIT,2025-02-13,41787.0,41944.7,41182.4,41315.55,21275143
NIFTYIT,2025-02-14,41547.05,41606.75,40958.0,41311.15,18638383
NIFTYIT,2025-02-17,40968.8,41254.9,40592.5,41073.2,17430176
NIFTYIT,2025-02-18,41097.45,41530.3,41039.25,41464.35,23191617
NIFTYIT,2025-02-19,41373.5,41403.25,40785.05,40924.25,20828566
NIFTYIT,2025-02-20,40725.4,41004.85,40701.1,40865.95,17412730
NIFTYIT,2025-02-21,40821.65,40905.4,40417.45,40544.5,18410013
NIFTYIT,2025-02-24,40100.25,40186.5,39306.7,39446.6,32175193
NIFTYIT,2025-02-25,39085.6,39518.2,39066.4,39131.3,24866437
NIFTYIT,2025-02-27,38971.6,39237.7,38742.9,38946.65,31388330
NIFTYIT,2025-02-28,38620.7,38642.0,37167.3,37318.3,50689680
NIFTYIT,2025-03-03,37408.65,37930.15,37369.7,37614.45,30426299
NIFTYIT,2025-03-04,37228.8,37537.2,36797.4,37276.95,26573916
NIFTYIT,2025-03-05,37287.25,38381.75,37287.25,38072.3,31524802
NIFTYIT,2025-03-06,38226.1,38347.1,37912.0,38145.3,30184830
NIFTYIT,2025-03-07,38028.15,38048.35,37625.05,37820.45,22926601
NIFTYIT,2025-03-10,37791.6,38037.3,37564.4,37644.4,20544833
NIFTYIT,2025-03-11,37185.25,37500.8,36826.9,37400.1,28487096
NIFTYIT,2025-03-12,37181.85,37201.55,35828.8,36310.65,44906537
NIFTYIT,2025-03-13,36378.2,36592.95,35948.25,36122.5,23380461
NIFTYIT,2025-03-17,35828.05,36170.25,35828.05,36137.2,29604117
NIFTYIT,2025-03-18,36242.15,36681.15,36008.85,36619.35,29882904
NIFTYIT,2025-03-19,36581.65,36581.65,35804.6,36223.5,36871655
NIFTYIT,2025-03-20,36444.55,37109.85,36444.55,36676.65,37114607
NIFTYIT,2025-03-21,35942.5,37033.9,35674.4,36702.8,53114455
NIFTYIT,2025-03-24,36944.9,37469.85,36539.95,37217.05,27863918
NIFTYIT,2025-03-25,37542.4,38073.05,37406.0,37706.9,36111649
NIFTYIT,2025-03-26,37719.45,37929.4,37216.6,37336.7,23500984
NIFTYIT,2025-03-27,37168.15,37627.6,37160.0,37548.3,35061407
NIFTYIT,2025-03-28,37376.6,37540.8,36767.25,36886.15,28800180
NIFTYIT,2025-04-01,36422.85,36538.6,35890.4,35980.65,31043045
NIFTYIT,2025-04-02,36024.45,36368.85,35970.7,36283.5,21620322
NIFTYIT,2025-04-03,35676.45,35686.55,34642.4,34757.25,38269354
NIFTYIT,2025-04-04,34224.6,34361.65,33418.65,33511.4,42306935
NIFTYIT,2025-04-07,31307.95,32835.1,30918.95,32668.8,56219869
NIFTYIT,2025-04-08,33232.4,33742.85,32859.05,33244.4,42276073
NIFTYIT,2025-04-09,32710.25,32762.3,32200.25,32517.35,41929049
NIFTYIT,2025-04-11,32926.65,33210.8,32526.0,32740.85,41380014
NIFTYIT,2025-04-15,33504.15,33520.65,32932.95,33275.3,31534729
NIFTYIT,2025-04-16,33215.95,33387.45,32867.95,33295.5,35816052
NIFTYIT,2025-04-17,32832.65,33471.55,32470.95,33372.35,82804558
NIFTYIT,2025-04-21,33299.6,34528.55,33283.85,34135.05,44704508
NIFTYIT,2025-04-22,34075.6,34130.3,33789.15,33941.05,37712498
NIFTYIT,2025-04-23,34700.1,35522.75,34648.45,35414.65,71805916
NIFTYIT,2025-04-24,35463.6,35572.0,35197.3,35307.1,43553843
NIFTYIT,2025-04-25,35487.3,35941.45,35068.15,35562.25,46181797
NIFTYIT,2025-04-28,35541.55,35679.35,35089.75,35482.95,28973047
NIFTYIT,2025-04-29,35565.75,36157.2,35416.9,35920.4,33732273
NIFTYIT,2025-04-30,35913.7,36206.55,35440.8,35794.95,32344522
NIFTYIT,2025-05-02,35868.5,36300.6,35637.4,35891.85,31311163
NIFTYIT,2025-05-05,36042.6,36352.4,35949.35,35991.25,21175475
NIFTYIT,2025-05-06,36129.3,36314.2,35778.8,35869.2,21845224
NIFTYIT,2025-05-07,35479.1,36042.25,35440.65,35920.3,24863436
NIFTYIT,2025-05-08,35960.95,36240.25,35832.8,36002.45,30708492
NIFTYIT,2025-05-09,35490.9,35929.3,35488.4,35880.1,22085342
NIFTYIT,2025-05-12,36656.65,38356.1,36600.75,38282.55,43159289
NIFTYIT,2025-05-13,38326.4,38326.4,37304.95,37354.6,36649336
NIFTYIT,2025-05-14,37480.6,37913.8,37379.15,37853.55,21955934
NIFTYIT,2025-05-15,37929.1,38377.35,37456.75,38293.8,37307356
NIFTYIT,2025-05-16,38351.9,38351.9,37814.9,37972.35,18005482
NIFTYIT,2025-05-19,37845.6,37917.2,37429.6,37477.8,21745482
NIFTYIT,2025-05-20,37722.2,38019.05,37234.2,37283.5,25350158
NIFTYIT,2025-05-21,37418.25,37618.9,37112.6,37540.1,14561774
NIFTYIT,2025-05-22,37246.25,37316.3,36868.55,37050.1,25367188
NIFTYIT,2025-05-23,37108.7,37826.4,37062.8,37403.55,17910942
NIFTYIT,2025-05-26,37491.1,37819.65,37442.85,37785.9,10637586
NIFTYIT,2025-05-27,37777.9,37798.7,37323.3,37501.45,22389320
NIFTYIT,2025-05-28,37751.4,37777.5,37440.7,37465.75,14854931
NIFTYIT,2025-05-29,37762.15,38121.4,37585.05,37754.15,29691992
NIFTYIT,2025-05-30,37646.4,37665.45,37241.25,37321.75,39452498
NIFTYIT,2025-06-02,37147.85,37172.6,36770.15,37061.85,18967225
NIFTYIT,2025-06-03,37199.65,37367.35,36740.55,36814.9,24279482
NIFTYIT,2025-06-04,36831.3,37088.5,36762.8,36938.1,20108609
NIFTYIT,2025-06-05,37034.45,37408.25,36886.25,37107.95,23541040
NIFTYIT,2025-06-06,37134.15,37356.3,36910.95,37294.85,15075590
NIFTYIT,2025-06-09,37522.5,37786.25,37445.3,37669.2,18626820
NIFTYIT,2025-06-10,37871.6,38567.75,37825.15,38299.95,37633777
NIFTYIT,2025-06-11,38355.5,38834.75,38215.0,38784.3,42411235
NIFTYIT,2025-06-12,38732.95,38891.05,38227.25,38460.3,38401774
NIFTYIT,2025-06-13,37769.5,38687.55,37722.2,38469.25,24748681
NIFTYIT,2025-06-16,38440.85,39258.4,38369.05,39073.05,25426392
NIFTYIT,2025-06-17,39123.0,39499.15,38977.95,39356.1,24129206
NIFTYIT,2025-06-18,39220.35,39572.5,38963.8,39030.9,18511797
NIFTYIT,2025-06-19,38945.35,38966.8,38429.4,38664.95,30242750
NIFTYIT,2025-06-20,38674.2,39041.05,38454.05,38991.45,34045562
NIFTYIT,2025-06-23,38642.15,38646.5,38278.7,38414.1,21918237
NIFTYIT,2025-06-24,38852.65,38936.55,38380.0,38417.95,25854223
NIFTYIT,2025-06-25,38635.0,39109.25,38605.5,39046.3,19980864
NIFTYIT,2025-06-26,38996.65,39103.35,38760.15,38996.25,27522524
NIFTYIT,2025-06-27,39125.75,39357.75,38707.15,38822.95,39110445
NIFTYIT,2025-06-30,38945.85,39011.95,38652.3,38950.0,21036914
NIFTYIT,2025-07-01,39004.65,39282.95,38725.25,38833.15,17391860
NIFTYIT,2025-07-02,39080.3,39519.5,38738.85,38879.1,27482971
NIFTYIT,2025-07-03,39009.85,39203.7,38803.75,38854.3,22475281
NIFTYIT,2025-07-04,38968.1,39191.9,38784.4,39166.55,16226386
NIFTYIT,2025-07-07,39146.15,39176.65,38799.7,38866.95,14542913
NIFTYIT,2025-07-08,38837.0,39238.2,38732.55,38983.25,18496692
NIFTYIT,2025-07-09,38986.8,38999.75,38540.65,38680.85,24218172
NIFTYIT,2025-07-10,38713.8,38715.2,38197.35,38376.65,22312329
NIFTYIT,2025-07-11,37702.55,37990.8,37558.1,37693.25,40664744
NIFTYIT,2025-07-14,37643.35,37664.2,37016.1,37273.7,30909419
NIFTYIT,2025-07-15,37077.0,37664.9,37048.95,37424.6,38898446
NIFTYIT,2025-07-16,37325.7,37758.5,37258.05,37660.7,30678953
NIFTYIT,2025-07-17,37552.85,37666.55,37060.7,37138.55,32555252
NIFTYIT,2025-07-18,37366.7,37419.6,36951.85,37141.85,49847554
NIFTYIT,2025-07-21,37109.8,37164.85,36780.05,37031.75,25947710
NIFTYIT,2025-07-22,36963.65,37121.0,36827.4,36858.9,24765665
NIFTYIT,2025-07-23,36958.3,37086.6,36745.2,36951.5,25685905
NIFTYIT,2025-07-24,36949.3,36974.05,36097.65,36135.8,48548590
NIFTYIT,2025-07-25,35998.0,36271.1,35531.65,35623.75,34103847
NIFTYIT,2025-07-28,35521.7,35566.55,35049.9,35370.05,28685591
NIFTYIT,2025-07-29,35270.9,35438.75,35101.5,35373.25,37020194
NIFTYIT,2025-07-30,35453.05,35531.55,35258.0,35481.7,20933609
NIFTYIT,2025-07-31,35218.85,35589.0,34999.25,35301.6,25052765
NIFTYIT,2025-08-01,35118.6,35166.4,34586.9,34649.6,24469783
NIFTYIT,2025-08-04,34558.7,35219.85,34324.85,35203.35,23001152
NIFTYIT,2025-08-05,35196.75,35196.75,34854.3,35034.5,27915106
NIFTYIT,2025-08-06,34957.95,34990.35,34347.45,34426.25,25943092
NIFTYIT,2025-08-07,34284.95,34808.05,34224.55,34726.8,25184313
NIFTYIT,2025-08-08,34603.0,34643.75,34350.85,34398.5,30093257
NIFTYIT,2025-08-11,34367.25,34624.4,34228.0,34544.65,17405840
NIFTYIT,2025-08-12,34589.85,35072.5,34561.3,34674.3,29736522
NIFTYIT,2025-08-13,34756.65,34842.15,34552.85,34692.95,24699468
NIFTYIT,2025-08-14,34732.25,35332.2,34732.25,34833.2,37833144
NIFTYIT,2025-08-18,35152.7,35158.7,34514.0,34634.95,21934572
